Train_No,Start_Station,End_Station,Start_Departure,End_Arrival,Total_Distance,Number_of_Stops,Journey_Duration
55733,KATIHAR JN.,JOGBANI,03:00:00,05:50:00,108,15,0 days 02:50:00
55734,JOGBANI,KATIHAR JN.,06:30:00,09:35:00,108,19,0 days 03:05:00
55735,KATIHAR JN.,JOGBANI,07:00:00,09:55:00,107,19,0 days 02:55:00
55736,JOGBANI,KATIHAR JN.,10:35:00,13:35:00,108,19,0 days 03:00:00
55740,JOGBANI,KATIHAR JN.,15:20:00,18:20:00,108,19,0 days 03:00:00
55741,KATIHAR JN.,JOGBANI,14:30:00,17:15:00,108,15,0 days 02:45:00
55742,JOGBANI,KATIHAR JN.,18:00:00,21:00:00,108,15,0 days 03:00:00
55743,KATIHAR JN.,JOGBANI,17:45:00,20:45:00,107,19,0 days 03:00:00
55744,JOGBANI,KATIHAR JN.,04:30:00,07:25:00,108,15,0 days 02:55:00
55749,NEW JALPAIGU,HALDIBARI,09:00:00,10:45:00,56,10,0 days 01:45:00
55750,HALDIBARI,NEW JALPAIGU,11:55:00,13:45:00,56,10,0 days 01:50:00
55751,NEW JALPAIGU,HALDIBARI,14:45:00,16:25:00,56,10,0 days 01:40:00
55752,HALDIBARI,NEW JALPAIGU,17:10:00,18:45:00,56,10,0 days 01:35:00
55753,ALIPUR DUAR,GUWAHATI,02:45:00,11:25:00,268,34,0 days 08:40:00
55754,GUWAHATI,ALIPUR DUAR,14:20:00,22:10:00,268,34,0 days 07:50:00
55755,KATIHAR JN.,JOGBANI,09:00:00,12:05:00,107,19,0 days 03:05:00
55756,JOGBANI,KATIHAR JN.,03:00:00,06:05:00,108,19,0 days 03:05:00
55763,KATIHAR JN.,JOGBANI,20:30:00,23:30:00,107,19,0 days 03:00:00
55764,JOGBANI,KATIHAR JN.,12:45:00,15:45:00,108,15,0 days 03:00:00
55769,MALDA COURT,KATIHAR JN.,16:45:00,20:30:00,90,20,0 days 03:45:00
55770,KATIHAR JN.,MALDA COURT,06:05:00,09:25:00,90,20,0 days 03:20:00
55771,MALDA COURT,BUNIYADPUR,10:30:00,12:15:00,61,9,0 days 01:45:00
55772,BUNIYADPUR,MALDA COURT,14:15:00,16:00:00,60,9,0 days 01:45:00
55801,NEW BONGAIGA,GUWAHATI,04:50:00,09:15:00,156,22,0 days 04:25:00
55802,GUWAHATI,NEW BONGAIGA,17:30:00,22:00:00,156,22,0 days 04:30:00
